ID,GENDER,BATCH_CODE,MODE,STATISTICS_76,PERCENTAGE_STATISTICS,TEXT_IMAGE_41,PERCENTAGE_TEXT_IMAGE,DATA_ENGINEERING_77,PERCENTAGE_DATA_ENGINEERING,DATA_VISUALIZATION_75,PERCENTAGE_DATA_VISUALIZATION,OUTPUT,TARGET
230,Female,D30,WE,63,82.89473684,35,85.36585366,51,68.91891892,47,66.1971831,75.84417313,0
231,Female,D30,WE,63,82.89473684,24,58.53658537,60,81.08108108,57,80.28169014,75.69852336,0
232,Male,D30,WE,53,69.73684211,39,95.12195122,47,63.51351351,47,66.1971831,73.64237248,0
233,Male,D30,WE,67,88.15789474,35,85.36585366,56,75.67567568,56,78.87323944,82.01816588,1
234,Male,D31,WE,47,61.84210526,36,87.80487805,50,67.56756757,53,74.64788732,72.96560955,0
235,Female,D31,WE,69,90.78947368,38,92.68292683,58,78.37837838,58,81.69014085,85.88522993,1
236,Female,D31,WE,68,89.47368421,38,92.68292683,63,85.13513514,63,88.73239437,89.00603514,1
237,Female,D32,WE,73,100,38,92.68292683,64,86.48648649,63,88.73239437,91.97545192,1
238,Male,D32,WE,69,94.52054795,34,82.92682927,60,81.08108108,59,83.09859155,85.40676246,1
239,Female,D33,WE,69,94.52054795,40,97.56097561,62,83.78378378,62,87.32394366,90.79731275,1
240,Male,D33,WE,56,76.71232877,38,92.68292683,45,60.81081081,61,85.91549296,79.03038984,0
241,Female,D34,WE,53,72.60273973,32,78.04878049,61,82.43243243,57,80.28169014,78.3414107,0
242,Female,D37,WE,65,89.04109589,38,92.68292683,66,89.18918919,62,87.32394366,89.55928889,1
243,Male,D37,WE,65,89.04109589,38,92.68292683,66,89.18918919,56,78.87323944,87.44661284,1
244,Female,D37,WE,71,97.26027397,38,92.68292683,69,93.24324324,69,97.18309859,95.09238566,1
245,Female,D39,WE,55,75.34246575,40,97.56097561,62,83.78378378,57,80.28169014,84.24222882,1
246,Male,D39,WE,64,87.67123288,35,85.36585366,67,90.54054054,63,88.73239437,88.07750536,1
247,Female,D40,WE,53,72.60273973,32,78.04878049,56,75.67567568,51,71.83098592,74.53954545,0
248,Female,D40,WE,69,94.52054795,36,87.80487805,60,81.08108108,56,78.87323944,85.56993663,1
249,Female,D41,WE,63,86.30136986,24,58.53658537,52,70.27027027,52,73.23943662,72.08691553,0
250,Male,D42,WE,67,91.78082192,38,92.68292683,68,91.89189189,58,81.69014085,89.51144537,1
